date,code,close,pctChg,volume,amount
2021-02-26,sz.002594,197.27,-20.133603,638468733.0,154811501204.48
2021-03-31,sz.002594,164.51,-16.606681,731395950.0,132263116031.07
2021-04-30,sz.002594,158.57,-3.6107,566414497.0,95444562203.51
2021-01-29,sz.002884,26.57,11.171548,53064195.0,1366961411.79
2021-02-26,sz.002884,30.1,13.285661,48337471.0,1361212597.78
2021-03-31,sz.002884,29.32,-2.591362,67018074.0,2022228566.05
2021-04-30,sz.002884,31.83,8.5607,31319515.0,931933510.73
2021-01-29,sz.002138,30.61,24.836868,552139878.0,15124195970.88
2021-02-26,sz.002138,34.54,12.838942,392392111.0,13330549012.5
2021-03-31,sz.002138,33.18,-3.360858,342997533.0,11668914294.32
2021-04-30,sz.002138,34.15,2.9234,295818488.0,10506866122.82
2021-01-29,sh.601225,10.15,8.672377,1456520548.0,15238581098.21
2021-02-26,sh.601225,10.72,5.615764,1133832066.0,12900272276.62
2021-03-31,sh.601225,11.06,3.171642,1528913858.0,17248686381.96
2021-04-30,sh.601225,11.25,1.7179,1120093668.0,12705202926.3
2021-01-29,sz.002359,1.22,,,
2021-02-26,sz.002359,1.22,,,
2021-03-31,sz.002359,1.22,,,
2021-04-30,sz.002359,1.22,0.0,,
2021-01-29,sh.601818,4.05,1.503759,3690381643.0,14914894108.38
2021-02-26,sh.601818,4.1,1.234568,4011322179.0,16781320555.74
2021-03-31,sh.601818,4.08,-0.487805,4116989539.0,16958558891.98
2021-04-30,sh.601818,3.78,-7.3529,2441157725.0,9572978449.65
2021-01-29,sh.601668,4.81,-3.219316,5589640670.0,27852416093.3
2021-02-26,sh.601668,5.05,4.989605,3029702039.0,14954217234.31
2021-03-31,sh.601668,5.19,2.772277,5363085346.0,27377057349.22
2021-04-30,sh.601668,4.94,-4.817,3218640838.0,16554623452.11
2021-01-29,sh.603601,11.42,-16.336996,188403786.0,2427309407.39
2021-02-26,sh.603601,11.9,4.203152,127511673.0,1563316437.1
2021-03-31,sh.603601,11.24,-5.546218,125573611.0,1433590080.06
2021-04-30,sh.603601,11.96,6.4057,93692293.0,1077372552.74
2021-01-29,sh.600760,76.86,-1.688411,586664373.0,51027414304.75
2021-02-26,sh.600760,81.1,5.516524,275850534.0,21805627440.3
2021-03-31,sh.600760,64.91,-19.963009,369572413.0,25060048566.8
2021-04-30,sh.600760,57.74,-11.0461,226001787.0,14250447058.31
2021-01-29,sz.002331,13.46,18.799647,183568772.0,2468296009.16
2021-02-26,sz.002331,13.33,-0.965825,373195369.0,5258634127.2
2021-03-31,sz.002331,12.24,-8.177044,260225610.0,3917823275.2
2021-04-30,sz.002331,11.98,-2.1242,135299360.0,1615391239.51
2021-01-29,sz.002430,26.52,-8.834651,222933405.0,6242129695.61
2021-02-26,sz.002430,30.51,15.045249,171779532.0,5579545407.66
2021-03-31,sz.002430,29.87,-2.097673,196001921.0,5732037401.52
2021-04-30,sz.002430,34.33,14.9314,200713153.0,6191314747.08
2021-01-29,sz.002291,17.7,9.529703,474371911.0,8328537287.62
2021-02-26,sz.002291,17.2,-2.824859,183514323.0,3049632782.19
2021-03-31,sz.002291,17.82,3.604651,419646442.0,8027923200.16
2021-04-30,sz.002291,18.27,2.5253,334432422.0,5692272840.42
2021-01-29,sh.600438,46.0,19.667014,2558710230.0,109273291826.76
2021-02-26,sh.600438,46.98,2.130435,1675824739.0,80445750442.75
2021-03-31,sh.600438,32.74,-30.310771,2921828774.0,102046144789.21
2021-04-30,sh.600438,35.23,7.6054,1518086365.0,50880516821.02
2021-01-29,sz.002241,33.2,-11.039657,2481587713.0,97893284918.76
2021-02-26,sz.002241,32.0,-3.614458,1622970334.0,54231123243.91
2021-03-31,sz.002241,27.15,-15.15625,1751061197.0,50934938020.81
2021-04-30,sz.002241,37.7,38.8582,1737465316.0,57919418335.47
2021-01-29,sh.601009,8.0,-0.990099,1184560115.0,9665155500.34
2021-02-26,sh.601009,8.8,10.0,1406623103.0,12333951635.03
