,fund_code,short_name,name,fund_type,full_name
11831,519009,HTFYSJXHH,汇添富优势精选混合(后端),混合型,HUITIANFUYOUSHIJINGXUANHUNHE
11832,519010,HTFJHZZHH,汇添富均衡增长混合(后端),混合型,HUITIANFUJUNHENGZENGZHANGHUNHE
11833,519011,HFTJXHH,海富通精选混合,混合型,HAIFUTONGJINGXUANHUNHE
11834,519013,HFTFGYSHH,海富通风格优势混合,混合型,HAIFUTONGFENGGEYOUSHIHUNHE
11835,519015,HFTJXEHHH,海富通精选贰号混合,混合型,HAIFUTONGJINGXUANERHAOHUNHE
11836,519017,DCJJCZHH,大成积极成长混合,混合型,DACHENGJIJICHENGZHANGHUNHE
11837,519018,HTFJHZZHH,汇添富均衡增长混合,混合型,HUITIANFUJUNHENGZENGZHANGHUNHE
11838,519019,DCJYLXHH,大成景阳领先混合,混合型,DACHENGJINGYANGLINGXIANHUNHE
11839,519020,GTJTLHPZHHA,国泰金泰灵活配置混合A,混合型,GUOTAIJINTAILINGHUOPEIZHIHUNHEA
11840,519021,GTJDJZHH,国泰金鼎价值混合,混合型,GUOTAIJINDINGJIAZHIHUNHE
11841,519022,GTJTLHPZHHC,国泰金泰灵活配置混合C,混合型,GUOTAIJINTAILINGHUOPEIZHIHUNHEC
11842,519023,HFTWJTLZQC,海富通稳健添利债券C,债券型,HAIFUTONGWENJIANTIANLIZHAIQUANC
11843,519024,HFTWJTLZQA,海富通稳健添利债券A,债券型,HAIFUTONGWENJIANTIANLIZHAIQUANA
11844,519025,HFTLXCZHH,海富通领先成长混合,混合型,HAIFUTONGLINGXIANCHENGZHANGHUNHE
11845,519026,HFTZXPHH,海富通中小盘混合,混合型,HAIFUTONGZHONGXIAOPANHUNHE
11846,519027,HFTSZZQETFLJ,海富通上证周期ETF联接,联接基金,HAIFUTONGSHANGZHENGZHOUQIETFLIANJIE
11847,519029,HXWZHH,华夏稳增混合,混合型,HUAXIAWENZENGHUNHE
11848,519030,HFTWGSYZQ,海富通稳固收益债券,债券型,HAIFUTONGWENGUSHOUYIZHAIQUAN
11849,519032,HFTSZFZQETFLJ,海富通上证非周期ETF联接,联接基金,HAIFUTONGSHANGZHENGFEIZHOUQIETFLIANJIE
11850,519033,HFTGCDXHH,海富通国策导向混合,混合型,HAIFUTONGGUOCEDAOXIANGHUNHE
11851,519034,HFTZZ500ZQA,海富通中证500增强A,股票指数,HAIFUTONGZHONGZHENG500ZENGQIANGA
11852,519035,FGTBCXZTHH,富国天博创新主题混合,混合型,FUGUOTIANBOCHUANGXINZHUTIHUNHE
11853,519036,FGTBCXZTHH,富国天博创新主题混合(后端),混合型,FUGUOTIANBOCHUANGXINZHUTIHUNHE
11854,519039,CSTDZTHH,长盛同德主题混合,混合型,CHANGSHENGTONGDEZHUTIHUNHE
11855,519050,HFTAYSYHHA,海富通安颐收益混合A,混合型,HAIFUTONGANYISHOUYIHUNHEA
11856,519051,HFTYNDKZA,海富通一年定开债A,定开债券,HAIFUTONGYINIANDINGKAIZHAIA
11857,519056,HFTNXRDHH,海富通内需热点混合,混合型,HAIFUTONGNEIXUREDIANHUNHE
11858,519059,HFTKZZYX,海富通可转债优选,债券型,HAIFUTONGKEZHUANZHAIYOUXUAN
11859,519060,HFTCZZQC,海富通纯债债券C,债券型,HAIFUTONGCHUNZHAIZHAIQUANC
11860,519061,HFTCZZQA,海富通纯债债券A,债券型,HAIFUTONGCHUNZHAIZHAIQUANA
11861,519062,HFTAEFDCHHA,海富通阿尔法对冲混合A,混合型,HAIFUTONGAERFADUICHONGHUNHEA
11862,519066,HTFLCWJHH,汇添富蓝筹稳健混合,混合型,HUITIANFULANCHOUWENJIANHUNHE
11863,519067,HTFLCWJHH,汇添富蓝筹稳健混合(后端),混合型,HUITIANFULANCHOUWENJIANHUNHE
11864,519068,HTFCZJDHH,汇添富成长焦点混合,混合型,HUITIANFUCHENGZHANGJIAODIANHUNHE
